col,x,amplitude,phase
1, 86.419, 3008.694, 43.694
2, 86.377, 3008.093, 43.694
3, 87.131, 3018.850, 43.694
4, 87.707, 3027.045, 43.694
5, 87.738, 3027.479, 43.694
6, 88.268, 3035.012, 43.695
7, 88.739, 3041.696, 43.696
8, 88.697, 3041.099, 43.696
9, 88.728, 3041.539, 43.696
10, 88.898, 3043.944, 43.696
11, 89.496, 3052.404, 43.698
12, 89.518, 3052.713, 43.698
13, 88.907, 3044.065, 43.697
14, 89.262, 3049.095, 43.698
15, 89.375, 3050.692, 43.698
16, 88.916, 3044.198, 43.697
17, 89.182, 3047.962, 43.697
18, 89.229, 3048.624, 43.697
19, 88.735, 3041.634, 43.696
20, 88.607, 3039.821, 43.696
21, 88.635, 3040.212, 43.696
22, 88.371, 3036.478, 43.695
23, 88.182, 3033.791, 43.695
24, 87.959, 3030.627, 43.695
25, 87.512, 3024.276, 43.694
26, 87.315, 3021.463, 43.694
27, 87.124, 3018.743, 43.694
28, 86.693, 3012.602, 43.694
29, 86.319, 3007.277, 43.694
30, 85.856, 3000.658, 43.694
31, 85.201, 2991.285, 43.695
32, 84.702, 2984.135, 43.697
33, 84.482, 2980.969, 43.697
34, 84.122, 2975.800, 43.699
35, 83.511, 2966.997, 43.701
36, 83.024, 2959.985, 43.704
37, 82.526, 2952.788, 43.707
38, 81.963, 2944.640, 43.711
39, 81.719, 2941.090, 43.713
40, 81.546, 2938.586, 43.714
41, 81.187, 2933.374, 43.717
42, 80.882, 2928.935, 43.720
43, 80.769, 2927.298, 43.721
44, 80.849, 2928.450, 43.720
45, 80.898, 2929.168, 43.720
46, 80.920, 2929.487, 43.720
47, 81.102, 2932.132, 43.718
48, 81.256, 2934.378, 43.717
49, 81.366, 2935.976, 43.716
50, 81.570, 2938.930, 43.714
51, 81.900, 2943.727, 43.711
52, 82.319, 2949.786, 43.708
53, 82.760, 2956.164, 43.706
54, 83.279, 2963.658, 43.703
55, 83.778, 2970.843, 43.700
56, 84.140, 2976.061, 43.699
57, 84.515, 2981.445, 43.697
58, 84.962, 2987.861, 43.696
59, 85.375, 2993.780, 43.695
60, 85.802, 2999.880, 43.694
61, 86.114, 3004.339, 43.694
62, 86.200, 3005.577, 43.694
63, 86.333, 3007.471, 43.694
64, 86.567, 3010.817, 43.694
65, 86.948, 3016.239, 43.694
66, 87.337, 3021.777, 43.694
67, 87.372, 3022.272, 43.694
68, 87.401, 3022.686, 43.694
69, 87.704, 3027.005, 43.694
70, 88.030, 3031.629, 43.695
71, 88.250, 3034.748, 43.695
72, 88.416, 3037.105, 43.695
73, 88.433, 3037.346, 43.695
74, 88.493, 3038.201, 43.696
75, 89.054, 3046.153, 43.697
76, 89.777, 3056.378, 43.699
77, 90.485, 3066.377, 43.702
78, 90.875, 3071.863, 43.704
79, 90.346, 3064.411, 43.701
80, 89.363, 3050.524, 43.698
81, 88.571, 3039.306, 43.696
82, 88.246, 3034.700, 43.695
83, 88.121, 3032.927, 43.695
84, 87.923, 3030.115, 43.694
85, 87.846, 3029.013, 43.694
86, 87.933, 3030.250, 43.695
87, 88.036, 3031.723, 43.695
88, 88.174, 3033.675, 43.695
89, 88.512, 3038.477, 43.696
90, 88.746, 3041.795, 43.696
91, 88.768, 3042.103, 43.696
92, 88.746, 3041.790, 43.696
93, 88.535, 3038.796, 43.696
94, 88.272, 3035.069, 43.695
95, 88.141, 3033.203, 43.695
96, 88.135, 3033.123, 43.695
97, 88.214, 3034.239, 43.695
98, 88.324, 3035.798, 43.695
99, 88.432, 3037.337, 43.695
100, 88.504, 3038.352, 43.696
101, 88.595, 3039.655, 43.696
102, 88.732, 3041.586, 43.696
103, 88.819, 3042.830, 43.696
104, 88.790, 3042.417, 43.696
105, 88.863, 3043.447, 43.696
106, 89.008, 3045.505, 43.697
107, 89.010, 3045.522, 43.697
108, 89.058, 3046.214, 43.697
109, 89.166, 3047.742, 43.697
110, 89.265, 3049.143, 43.698
111, 89.317, 3049.870, 43.698
112, 89.254, 3048.976, 43.698
113, 89.169, 3047.782, 43.697
114, 88.950, 3044.681, 43.697
115, 88.635, 3040.215, 43.696
116, 88.426, 3037.247, 43.695
117, 88.258, 3034.871, 43.695
118, 88.145, 3033.271, 43.695
119, 88.086, 3032.430, 43.695
120, 88.060, 3032.063, 43.695
121, 88.256, 3034.841, 43.695
122, 88.576, 3039.376, 43.696
123, 88.864, 3043.457, 43.696
124, 89.199, 3048.208, 43.697
125, 89.483, 3052.214, 43.698
126, 89.671, 3054.875, 43.699
127, 89.943, 3058.727, 43.700
128, 90.293, 3063.660, 43.701
129, 90.639, 3068.540, 43.703
130, 90.986, 3073.435, 43.704
131, 91.238, 3076.971, 43.706
132, 91.486, 3080.471, 43.707
133, 91.758, 3084.287, 43.709
134, 91.986, 3087.493, 43.710
135, 92.239, 3091.044, 43.711
136, 92.473, 3094.325, 43.713
137, 92.764, 3098.416, 43.715
138, 93.076, 3102.787, 43.717
139, 93.308, 3106.035, 43.718
140, 93.460, 3108.151, 43.720
141, 93.524, 3109.058, 43.720
142, 93.548, 3109.382, 43.720
143, 93.431, 3107.758, 43.719
144, 93.242, 3105.101, 43.718
145, 93.099, 3103.102, 43.717
